Province,District,PollingCenter,provId,distId,PC Code,psId,TotalVoters,TotalMale,TotalFemale,Kochi,Gender,PS #,voters
KABUL,Nahia 02,Abdullah bin Masoud Mosque,01,010102,0101032,0101032-05,2069,1676,393,6,M,05,238
KABUL,Nahia 02,Abdullah bin Masoud Mosque,01,010102,0101032,0101032-06,2069,1676,393,6,F,06,393
KABUL,Nahia 03,Sayed Jamaluddin Experimental Secondary School,01,010103,0101033,0101033-01,1139,743,396,0,M,01,372
KABUL,Nahia 03,Sayed Jamaluddin Experimental Secondary School,01,010103,0101033,0101033-02,1139,743,396,0,M,02,371
KABUL,Nahia 03,Sayed Jamaluddin Experimental Secondary School,01,010103,0101033,0101033-03,1139,743,396,0,F,03,396
KABUL,Nahia 03,Afghan Technology Institute,01,010103,0101034,0101034-01,2102,1793,309,0,M,01,400
KABUL,Nahia 03,Afghan Technology Institute,01,010103,0101034,0101034-02,2102,1793,309,0,M,02,400
KABUL,Nahia 03,Afghan Technology Institute,01,010103,0101034,0101034-03,2102,1793,309,0,M,03,400
KABUL,Nahia 03,Afghan Technology Institute,01,010103,0101034,0101034-04,2102,1793,309,0,M,04,297
KABUL,Nahia 03,Afghan Technology Institute,01,010103,0101034,0101034-05,2102,1793,309,0,M,05,296
KABUL,Nahia 03,Afghan Technology Institute,01,010103,0101034,0101034-06,2102,1793,309,0,F,06,309
KABUL,Nahia 03,Sayed Jamaluddin Secondary School,01,010103,0101035,0101035-01,3250,2275,975,1,M,01,400
KABUL,Nahia 03,Sayed Jamaluddin Secondary School,01,010103,0101035,0101035-02,3250,2275,975,1,M,02,400
KABUL,Nahia 03,Sayed Jamaluddin Secondary School,01,010103,0101035,0101035-03,3250,2275,975,1,M,03,400
KABUL,Nahia 03,Sayed Jamaluddin Secondary School,01,010103,0101035,0101035-04,3250,2275,975,1,M,04,400
KABUL,Nahia 03,Sayed Jamaluddin Secondary School,01,010103,0101035,0101035-05,3250,2275,975,1,M,05,338
KABUL,Nahia 03,Sayed Jamaluddin Secondary School,01,010103,0101035,0101035-06,3250,2275,975,1,M,06,337
KABUL,Nahia 03,Sayed Jamaluddin Secondary School,01,010103,0101035,0101035-07,3250,2275,975,1,F,07,400
KABUL,Nahia 03,Sayed Jamaluddin Secondary School,01,010103,0101035,0101035-08,3250,2275,975,1,F,08,288
KABUL,Nahia 03,Sayed Jamaluddin Secondary School,01,010103,0101035,0101035-09,3250,2275,975,1,F,09,287
KABUL,Nahia 03,Raabia Balkhi High School,01,010103,0101036,0101036-01,2861,1745,1116,3,M,01,400
KABUL,Nahia 03,Raabia Balkhi High School,01,010103,0101036,0101036-02,2861,1745,1116,3,M,02,400
KABUL,Nahia 03,Raabia Balkhi High School,01,010103,0101036,0101036-03,2861,1745,1116,3,M,03,400
KABUL,Nahia 03,Raabia Balkhi High School,01,010103,0101036,0101036-04,2861,1745,1116,3,M,04,273
KABUL,Nahia 03,Raabia Balkhi High School,01,010103,0101036,0101036-05,2861,1745,1116,3,M,05,272
KABUL,Nahia 03,Raabia Balkhi High School,01,010103,0101036,0101036-06,2861,1745,1116,3,F,06,400
KABUL,Nahia 03,Raabia Balkhi High School,01,010103,0101036,0101036-07,2861,1745,1116,3,F,07,358
KABUL,Nahia 03,Raabia Balkhi High School,01,010103,0101036,0101036-08,2861,1745,1116,3,F,08,358
KABUL,Nahia 03,Amir Dost Mohammad Khan School,01,010103,0101037,0101037-01,2219,1639,580,3,M,01,400
KABUL,Nahia 03,Amir Dost Mohammad Khan School,01,010103,0101037,0101037-02,2219,1639,580,3,M,02,400
KABUL,Nahia 03,Amir Dost Mohammad Khan School,01,010103,0101037,0101037-03,2219,1639,580,3,M,03,400
KABUL,Nahia 03,Amir Dost Mohammad Khan School,01,010103,0101037,0101037-04,2219,1639,580,3,M,04,220
KABUL,Nahia 03,Amir Dost Mohammad Khan School,01,010103,0101037,0101037-05,2219,1639,580,3,M,05,219
KABUL,Nahia 03,Amir Dost Mohammad Khan School,01,010103,0101037,0101037-06,2219,1639,580,3,F,06,290
KABUL,Nahia 03,Amir Dost Mohammad Khan School,01,010103,0101037,0101037-07,2219,1639,580,3,F,07,290
KABUL,Nahia 03,Hanzalla Mosque,01,010103,0101038,0101038-01,1020,682,338,0,M,01,341
KABUL,Nahia 03,Hanzalla Mosque,01,010103,0101038,0101038-02,1020,682,338,0,M,02,341
KABUL,Nahia 03,Hanzalla Mosque,01,010103,0101038,0101038-03,1020,682,338,0,F,03,338
KABUL,Nahia 03,Amir Hamza Secondary School,01,010103,0101039,0101039-01,2284,1710,574,0,M,01,400
KABUL,Nahia 03,Amir Hamza Secondary School,01,010103,0101039,0101039-02,2284,1710,574,0,M,02,400
KABUL,Nahia 03,Amir Hamza Secondary School,01,010103,0101039,0101039-03,2284,1710,574,0,M,03,400
KABUL,Nahia 03,Amir Hamza Secondary School,01,010103,0101039,0101039-04,2284,1710,574,0,M,04,255
KABUL,Nahia 03,Amir Hamza Secondary School,01,010103,0101039,0101039-05,2284,1710,574,0,M,05,255
KABUL,Nahia 03,Amir Hamza Secondary School,01,010103,0101039,0101039-06,2284,1710,574,0,F,06,287
KABUL,Nahia 03,Amir Hamza Secondary School,01,010103,0101039,0101039-07,2284,1710,574,0,F,07,287
KABUL,Nahia 03,Mohammadia Mosque,01,010103,0101040,0101040-01,1857,1310,547,0,M,01,400
KABUL,Nahia 03,Mohammadia Mosque,01,010103,0101040,0101040-02,1857,1310,547,0,M,02,400
KABUL,Nahia 03,Mohammadia Mosque,01,010103,0101040,0101040-03,1857,1310,547,0,M,03,255
KABUL,Nahia 03,Mohammadia Mosque,01,010103,0101040,0101040-04,1857,1310,547,0,M,04,255
KABUL,Nahia 03,Mohammadia Mosque,01,010103,0101040,0101040-05,1857,1310,547,0,F,05,274
KABUL,Nahia 03,Mohammadia Mosque,01,010103,0101040,0101040-06,1857,1310,547,0,F,06,273
KABUL,Nahia 03,"Jamal Mena, no. 13 Secondary School",01,010103,0101041,0101041-01,2220,1181,1039,0,M,01,400
KABUL,Nahia 03,"Jamal Mena, no. 13 Secondary School",01,010103,0101041,0101041-02,2220,1181,1039,0,M,02,391
KABUL,Nahia 03,"Jamal Mena, no. 13 Secondary School",01,010103,0101041,0101041-03,2220,1181,1039,0,M,03,390
KABUL,Nahia 03,"Jamal Mena, no. 13 Secondary School",01,010103,0101041,0101041-04,2220,1181,1039,0,F,04,400
KABUL,Nahia 03,"Jamal Mena, no. 13 Secondary School",01,010103,0101041,0101041-05,2220,1181,1039,0,F,05,320
KABUL,Nahia 03,"Jamal Mena, no. 13 Secondary School",01,010103,0101041,0101041-06,2220,1181,1039,0,F,06,319
KABUL,Nahia 03,"Jamal Mena, no. 12 Preliminary School",01,010103,0101042,0101042-01,4297,2891,1406,1,M,01,400
KABUL,Nahia 03,"Jamal Mena, no. 12 Preliminary School",01,010103,0101042,0101042-02,4297,2891,1406,1,M,02,400
KABUL,Nahia 03,"Jamal Mena, no. 12 Preliminary School",01,010103,0101042,0101042-03,4297,2891,1406,1,M,03,400
KABUL,Nahia 03,"Jamal Mena, no. 12 Preliminary School",01,010103,0101042,0101042-04,4297,2891,1406,1,M,04,400
KABUL,Nahia 03,"Jamal Mena, no. 12 Preliminary School",01,010103,0101042,0101042-05,4297,2891,1406,1,M,05,400
KABUL,Nahia 03,"Jamal Mena, no. 12 Preliminary School",01,010103,0101042,0101042-06,4297,2891,1406,1,M,06,400
KABUL,Nahia 03,"Jamal Mena, no. 12 Preliminary School",01,010103,0101042,0101042-07,4297,2891,1406,1,M,07,246
KABUL,Nahia 03,"Jamal Mena, no. 12 Preliminary School",01,010103,0101042,0101042-08,4297,2891,1406,1,M,08,245
KABUL,Nahia 03,"Jamal Mena, no. 12 Preliminary School",01,010103,0101042,0101042-09,4297,2891,1406,1,F,09,400
