id,gender,party,name,name_dari,ballotNumber,incumbent,electedPreliminary,electedFinal
926537,M,independent,Muhammad Hakim Tursan,محمد حکیم تورسن,212,False,64,64
928435,M,independent, Fida Muhammad Oriakhil,فدا محمد  اور یا خیل,490,False,553,578
931501,M,independent,Colonel Abdul Rahman Shahidani,دگروال عبدالرحمن شهیدانی,41,False,11993,11993
933568,M,independent, Alhaj Muhammad Esa Akhlaqi,الحاج محمد عیسی اخلاقی,42,False,24,24
935571,M,independent,Eng. Sharif Amin,انجنیر شریف امین,29,False,5356,5385
939974,M,independent,Hajji Sayed Mahmood Mukhlis,حاجی سید محمود مخلص,373,False,73,73
948420,F,independent,Ustad Nafisa Hanif Khush Naseeb,استاد نفیسه حنیف خوش نصیب,169,False,80,80
950415,F,independent,Sina Rahmani,سینا رحمانی,466,False,312,313
956930,M,independent, Alhaj Eng. Ishaq Ali Jamal,الحاج انجنیر اسحق علی جمال,471,False,1157,1158
957331,F,independent,Malalay Sofi Tawhid,ملالی صافی توحید,628,False,41,41
961319,F,independent,Shamayel Nikzad Amiri,شمایل  نیکزاد امیری,77,False,828,826
964917,F,independent, Fahima Sarfaraz,فهیمه  سرفراز,427,False,205,183
965730,F,independent,Mualim Ruqia Ihsan Timoori,معلم رقیه احسان تیموری,541,False,162,162
967383,M,independent,Hajji Obaidullah Rahmani,حاجی عبید الله رحمانی,303,False,338,338
967571,M,independent, Molawi Fazal Karim Saraji,مولوی فضل الکریم سراجی,49,False,578,582
972006,M,independent,Amanullah Nabi Zada,امان الله نبی زاده,2,False,2648,2652
972335,M,independent,Ustad Abdul Rab Rasool Sayyaf,استاد عبدرب الرسول سیاف,322,True,7120,7158
972403,M,independent, Hajji Mahdawi,حاجی مهدوی,104,False,2743,2754
972412,M,independent,Mir Ahmad Joyenda,میر احمد جوینده,8,True,753,762
972453,M,independent,Alhaj Sayed Abdul Nasir Yaqubi,الحاج سید عبدالناصر یعقوبی,232,False,684,686
972471,M,independent,Sayed Askar Faqiri,سید عسکر  فقیری,66,False,46,46
972751,M,independent, Muhammad Rafi,محمد رفیع,160,False,217,221
972761,M,independent,Muhammad Tahir Gardoon,محمد طاهر گردون,104,False,2220,1804
975057,F,independent,Parween Sofi,پروین صوفی,521,False,41,41
980064,M,independent,Sayed Shir Aqa Rohani,سید شیر آقا روحانی,482,False,464,474
980186,M,independent,Wahidullah Ghazikhil,وحید الله غازی خیل,272,False,709,709
980690,M,independent, Muhammad Dawood Jalali,محمد داود جلالی,264,False,302,301
981488,M,independent,Hajji Sikandar Farji,حاجی سکندر فراجی,184,False,181,183
983411,M,independent, Alhaj Amanullah,الحاج امان الله,66,False,2213,2207
984047,M,independent, Dr. Abdul Muhet Zakir,داکتر عبدالمحیط ذاکر,67,False,4040,3989
985041,M,independent,Abdul Ghafar Faizi Zadran,عبدالغفار فیضی ځدران,13,False,2025,2025
985759,F,independent,Hasina Sahak,حسینه سهاک,539,False,192,193
987032,F,independent,Amani Alhaj Bibi Hajji  Halima Muslima,الحاج بی بی حاجی مسلمه امانی,145,False,123,128
987061,F,independent,Nadira Kharoty,نادره خروټی,78,False,146,148
987081,F,independent, Nasreen Parsa,نسرین پارسا,304,False,906,906
987157,F,independent,Suraya Faizi,,661,False,13,
987309,F,independent,Suhaila Ansari,سهیلا انصاری,15,False,340,344
988187,M,independent,Muhammad Ahrar,محمد احرار,643,False,278,281
988316,M,independent, Muhammad Rustam Faqirzada,محمد  رستم  فقیرزاده,350,False,673,674
988772,M,independent, Sayed Abdullah,سید عبدالله,132,False,69,69
989550,M,independent,Ahmad Raza Temori,احمد رضا تیموری,460,False,96,97
990147,M,independent,Eng. Abdul Latif Ahmadzai,انجینر عبد اللطیف احمدزی,27,False,1226,805
990292,M,independent,Mawin Sarmuhaqiq Abdul Wasi Ferozi,معاون سر محقق عبدالواسع فیروزی,287,False,1771,1807
990359,M,Political party,Noor Ahmad Chardhiwal,نور احمد چهاردهی وال,17,False,288,294
990377,M,independent,Ghulam Mustafa Popalzai,غلام مصطفی پوپلزی,370,False,33,35
990384,M,independent,Alhaj Malik Taaj Muhammad,الحاج ملک تاج محمد,432,False,272,274
990425,M,independent,Hajji Abdul Fatah A.K.A Hajji Jan,حاجی عبدالفتاح مشهور به حاجی جان,401,False,403,406
992330,M,Political party,Abdul Samad Naab,عبدالصمد ناب,74,False,79,79
992914,M,independent, Muhammad Ihsan,,554,False,20,
993605,M,independent, Dr. Faheem,داکتر فهیم,436,False,40,40
994017,M,independent,General Sikandar Asghari,جنرال سکندر  اصغری,606,False,633,633
996195,M,independent,Abdul Mateen Muhammad Khil,عبدالمتین محمد خیل,356,False,343,344
996229,M,independent,Alhaj Dr. Najeebullah Babakar Khill,الحاج داکتر نجیب اله بابکرخیل,389,False,252,252
996244,M,independent, Maulawi Nadar Shah Baleegh,مولوی نادر شاه بلیغ,478,False,1089,1122
996380,M,independent, Shirullah Jabarkhil,شیر الله جبارخیل,412,False,628,632
997138,M,independent,Dr. Ramzan Bashar Dost,داکتر رمضان بشر دوست,100,True,7856,7935
1001242,M,independent,Jawad Omid,جواد امید,43,False,970,988
1004938,M,independent,Sayed Jamal Taheri,سید جمال طاهری,508,False,492,498
1008086,M,independent, Abdul Hakim Ahmadi,عبدالحکیم احمدی,463,False,72,72
1017429,M,independent, Dr. Abdul Khalil Khakzad,,130,False,43,
1032394,M,independent,Hajji Eng. Muhammad Zia Tahiri,حاجی انجنیر محمد ضیا طاهری,67,False,263,263
1044582,M,independent,Muhammad Aqa Nazari,محمد آقا نظری,85,False,193,195
1044702,M,independent, Hajji Muhammad Aman Safi,حاجی محمد امان صافی,180,False,161,185
1044894,M,independent,Muhammad Suliman Kakar,محمد سلیمان کاکړ,406,False,494,503
1051349,M,independent,Ustad Sayed Yosuf Qadis,استاد سید یوسف  قدیس,162,False,233,236
1058127,M,independent,Hajji Fakuri Behishti,حاجی فکوری بهشتی,27,True,11824,11824
1069556,F,independent, Ustad Shireen Taaj Rahemi,استاد شیرین تاج  رحیمی,337,False,59,59
1071366,M,independent, Shah Muhammad Nazari,شاه محمد نظری,118,False,1184,1187
1073284,M,independent,Sayed Dawood Shah Murtazawi,سید داودشاه مرتضوی,240,False,1103,1123
1081847,M,independent, Dr. Ali Jan Jamal,داکتر علی جان جمال,35,False,2524,2408
1083737,M,Political party, Abdul Malik Habibi,عبدالملک حبیبی,34,False,2390,2390
1087368,M,independent,Alhaj Pohand  Muhammad Zahir Amiri,الحاج پوهاند محمد ظاهر امیری,46,False,658,659
1092179,F,independent,Dr. Zeba Habib Durani,داکتر زیبا  حبیب  درانی,72,False,396,397
1095117,M,independent,Hajji Shafiullah Arab,حاجی شفیع الله عرب,159,False,1442,1441
