IEC ID,AGCHO_ID,ps_total,pc_total,lat,long,dist_name,prov_name,ANPO_obs_count,AYNSO_obs_count,FEFA_obs_count,TEFA_obs_count,NLO_obs_count,Total_Observers
1601,1401,23,7,70.8020520402,35.4078960502,Poruns,Nuristan,11,0,12,0,0,23
1602,1406,19,5,71.0262340273,35.2256138019,Waygal,Nuristan,0,0,7,0,0,7
1603,1405,32,7,70.7955526352,35.1822801897,Wama,Nuristan,3,0,17,0,0,20
1604,1404,21,6,70.4686106686,35.0742517912,Nurgaram,Nuristan,1,0,11,0,0,12
1605,1403,5,2,70.3777508415,35.2214884156,Du Ab,Nuristan,0,0,3,0,0,3
1606,1407,15,3,71.3145229299,35.4835602555,Kamdesh,Nuristan,0,0,0,0,0,0
1608,1408,31,7,71.2541438485,35.7747270378,Barg-e- Matal,Nuristan,0,0,0,0,0,0
1701,1501,95,25,70.6134811307,37.2163414682,Faiz Abad,Badakhshan,0,0,59,0,23,82
1702,1503,95,27,70.4252903739,37.0634672734,Argo,Badakhshan,0,0,59,1,6,66
1703,1504,18,6,70.8214733007,37.2662372064,Arghanj Khwa,Badakhshan,0,0,0,5,3,8
1704,1502,55,17,70.3709704028,37.3119811349,Yaftal-e-Sufla,Badakhshan,0,0,34,0,0,34
1705,1511,25,6,70.7256633133,36.9403076979,Khash,Badakhshan,0,0,0,0,5,5
1706,1512,23,10,70.9012025423,37.0290144999,Baharak,Badakhshan,0,0,15,7,7,29
1707,1510,43,13,70.4664552217,36.8721304002,Darayem,Badakhshan,0,0,27,1,8,36
1708,1505,19,8,70.65626736,37.4211683886,Kohistan,Badakhshan,0,0,0,0,0,0
1709,1507,33,13,70.3803032664,37.5282081041,Yawan,Badakhshan,0,0,0,0,0,0
1710,1521,24,8,70.9063551962,36.740047373,Jorm,Badakhshan,0,0,16,0,0,16
1711,1509,27,12,70.3959129225,36.7702199842,Teshkan,Badakhshan,0,0,17,0,6,23
1712,1513,20,8,71.1637637096,37.1042606685,Shuhada,Badakhshan,0,0,12,0,0,12
1713,1508,41,16,70.1354589179,37.3412806143,Shahr-e-Buzorg,Badakhshan,0,0,25,9,0,34
1714,1506,33,9,70.6734321014,37.660785554,Raghistan,Badakhshan,0,0,0,0,0,0
1715,1518,63,19,70.1325487324,36.7722055703,Keshem,Badakhshan,0,0,39,0,6,45
1716,1522,27,9,71.1823575799,36.7570756602,Warduj,Badakhshan,0,0,17,2,0,19
1717,1519,5,2,70.3496317247,36.4827597386,Tagab,Badakhshan,0,0,7,0,0,7
1718,1520,32,10,70.7913078678,36.4368425832,Yamgan,Badakhshan,0,0,0,0,0,0
1719,1514,29,9,71.2439061962,37.6011181203,Shighnan,Badakhshan,0,0,0,2,0,2
1720,1517,22,8,70.3938487529,37.8371989181,Khwahan,Badakhshan,0,0,0,0,0,0
