Long,Lat,ps_male,pc_name,PC-number,province,ps_total,district,ps_female,pc_location,iec_prov_id,map_accuracy,iec_district_id
70.51831601,37.28336581000005,2,Gazanak High School,1704028,Badakhshan,3,Yaftal-E-Sufla,1,Gazanak,17,Building,4
70.88256937000003,37.016088360000005,1,Khair Abad Girls High School,1706107,Badakhshan,2,Baharak,1,Khair Abad,17,Building,6
70.78305925000005,37.05415183000006,1,Payan Shahr School,1706108,Badakhshan,2,Baharak,1,Payan Shahr,17,Building,6
70.66708471000003,37.375517040000005,1,March Mosque,1708125,Badakhshan,2,Kohistan,1,March,17,Building,8
70.71385054000005,37.375966720000044,1,Hujra Gardan Mosque,1708126,Badakhshan,2,Kohistan,1,Hujra Gardan,17,Building,8
70.22538926000001,37.44078284000005,2,Wandyan School,1713139,Badakhshan,3,Shahr-E-Buzurg,1,Wandyan,17,Building,13
70.18969426000004,37.24788738000005,1,Dasht Farang Secondary School,1713140,Badakhshan,2,Shahr-E-Buzurg,1,Dasht Farang,17,Building,13
70.13533590000002,36.72612142000003,2,Dara-E-Jeem School,1715153,Badakhshan,4,Kishm,2,Dara-E-Jeem,17,Building,15
70.24722965000005,36.58275121,2,Farman Qoli School,1717167,Badakhshan,3,Tagab,1,Farman Qoli,17,Building,17
71.31237958000007,37.90386140000003,2,Yaarakh Mosque,1719217,Badakhshan,3,Shighnan,1,Yaarakh,17,Building,19
71.49868295000002,37.47136696000005,2,Weer Boys School,1719218,Badakhshan,4,Shighnan,2,Weer,17,Building,19
71.30312389000002,36.43520674000004,1,Farooq High School,1725195,Badakhshan,2,Zebak,1,Farooq,17,Building,25
70.41313742000004,35.89564797000002,3,Dahan Aab Yamak School,1726188,Badakhshan,5,Kiran Wa Menjan,2,Dahan Aab Yamak,17,Building,26
69.76534434000006,36.750679670000046,3,Lataband High School,1801001,Takhar,4,Taluqan,1,Lataband,18,Building,1
69.49304213000003,36.71916609000002,3,Chashma Shir High School,1801023,Takhar,5,Taluqan,2,Chashma Shir,18,Building,1
69.54785822000007,36.72921527000005,4,Girls Number 1 High School,1801024,Takhar,7,Taluqan,3,D01 - Nahia 1,18,Building,1
69.47716457000006,36.61363653000004,1,Shorcha 2 School,1801034,Takhar,2,Taluqan,1,Shorcha 2 Village,18,Building,1
69.57588723000002,36.72788699000003,2,Abdul Bari Shaheed School,1801183,Takhar,4,Taluqan,2,Zargari Bala,18,Building,1
69.76370633000002,36.431846630000024,1,Nakhjir Dara School,1806194,Takhar,2,Namak Ab,1,Nakhjir Dara,18,Building,6
69.85518241000003,36.58183080000002,5,Samimi Shaheed High School,1808086,Takhar,8,Farkhar,3,Markaz Shahr,18,Building,8
69.41569829000007,37.103620600000035,3,Jokdo Primary School,1809048,Takhar,4,Khwaja Ghar,1,Jokdo,18,Building,9
69.44231888000006,37.11321352000002,2,Laklakan Primary School,1809049,Takhar,3,Khwaja Ghar,1,Lalakan,18,Building,9
69.61262956000004,37.11401845000004,3,Sher Atla Secondary School,1810110,Takhar,4,Rustaq,1,Sher Atla,18,Building,10
69.99184220000005,37.23392251000005,1,Zaan Payan Mosque,1810196,Takhar,2,Rustaq,1,Zaan Payan,18,Building,10
69.49292777000002,37.21244444000005,1,Bagh Bayan Mosque,1812200,Takhar,2,Dasht-E-Qala,1,Bagh Bayan,18,Building,12
69.41785000000003,37.38081000000003,2,Musa Zai Secondary School,1815164,Takhar,3,Darqad,1,Taraki,18,Building,15
69.51143888000006,37.52062777000002,2,Lala Maidan School,1815165,Takhar,3,Darqad,1,Lala Maidan,18,Building,15
69.70248393000001,37.47510051000004,2,Jalga High School,1817148,Takhar,4,Yangi Qala,2,Jalga,18,Building,17
69.61461095000003,37.46662471000006,3,Yangi Qala High School,1817149,Takhar,4,Yangi Qala,1,Makhmal Guzar,18,Building,17
68.86087271000007,36.73004842000006,4,Central Statistics Office,1901016,Kunduz,6,Kunduz,2,D03 - Nahia 3,19,Building,1
68.87672856000005,36.725743960000024,5,Mawlawi Sirajuddin High School,1901017,Kunduz,8,Kunduz,3,D04 - Nahia 4,19,Building,1
68.70892894000006,36.79114775000002,2,Gharma Kamar School,1901039,Kunduz,3,Kunduz,1,Gharma Kamar Village,19,Village,1
68.74374111,36.79856963000003,2,Sultan Ghiyasuddin High School,1901040,Kunduz,3,Kunduz,1,Larkhabi,19,Building,1
68.74503400000002,36.84604670000002,2,Besh Bala Mosque,1901050,Kunduz,4,Kunduz,2,Asqalan Village,19,Village,1
68.92178364000003,36.80369965000004,2,Tapa Ali School,1901199,Kunduz,3,Kunduz,1,Tapa Ali Village,19,Building,1
69.06063069000002,36.673904680000064,1,Chahar Sari School,1904152,Kunduz,2,Khan Abad,1,Chahar Sari Village,19,Building,4
69.21393388000006,36.73814906000005,1,Abshor Jolicha High School,1904153,Kunduz,2,Khan Abad,1,Jolicha Village,19,Building,4
69.00090854000005,36.68219139000006,1,Nikpay Khord Girls High School,1904162,Kunduz,2,Khan Abad,1,Nikpay Village,19,Building,4
69.30041186000004,37.06969202000004,3,Hamid Qarlaq High Schoo,1906180,Kunduz,4,Dasht-E-Archi,1,Mirza Khel Village,19,Building,6
69.22566916000004,37.060531890000014,3,Kal Tarash School,1906181,Kunduz,4,Dasht-E-Archi,1,Kal Tarash Village,19,Building,6
68.46818484000003,37.00067342000005,3,Orta Boz School,1907100,Kunduz,4,Qala-E-Zal,1,Orta Boz,19,Building,7
68.40754477000006,36.99315571000003,3,Dorman School,1907101,Kunduz,4,Qala-E-Zal,1,Dorman Village,19,Building,7
67.91642058000006,36.34153387000001,2,Kokjar Secondary School,2002024,Samangan,3,Hazrat-E-Sultan,1,Kokjar Village,20,Building,2
67.13084952000007,35.87208379000002,2,Ota Mosque,2006053,Samangan,4,Dara-E-Soof-E-Payin,2,Ota Village,20,Building,6
67.27783027000002,35.86157537000001,1,Sar Olang School,2007091,Samangan,2,Dara-E-Soof-E-Bala,1,Jambogha,20,Building,7
67.12111521000001,36.70712248000005,6,Sultan Razia High School,2101001,Balkh,10,Mazar-E-Sharif,4,D01 - Nahia 1 Mazar,21,Building,1
67.11873522000006,36.712920260000026,2,Aisha Afghan High School,2101009,Balkh,5,Mazar-E-Sharif,3,D03 - Nahia 3,21,Building,1
67.11484158000005,36.710295180000045,3,Sultan Ghiyasuddin School,2101010,Balkh,6,Mazar-E-Sharif,3,D03 - Nahia 3,21,Building,1
67.13922919000002,36.694292100000006,2,Hilaluddin Balkhi School,2101047,Balkh,4,Mazar-E-Sharif,2,D06 - Nahia 6,21,Building,1
67.09640541000003,36.72442305000001,2,Mehdiya School,2101048,Balkh,5,Mazar-E-Sharif,3,D09 - Nahia 9,21,Building,1
66.98938569000003,36.71929200000003,2,Chehl Gazai School,2103058,Balkh,4,Dehdadi,2,Chehl Gazai Village,21,Building,3
