id,name,distId,provId,estimatedVoters,psTotal,psFemale,psMale,psKuchi
1415185,"Muzafari School, Muzafari",1524,15,1600,3,1,2,0
1415180,"Deh Saedaan School, Deh Saedaan",1524,15,2100,4,2,2,0
1415187,"Dasht-e-Aagha School, Dasht-e-Aagha",1524,15,1100,2,1,1,0
1415184,"Saedan School, Saedan",1524,15,1700,3,1,2,0
1415181,"Arghandakan School, Arghandakan",1524,15,2300,4,2,2,0
1415182,"Yawali School, Yawali Bala",1524,15,1900,4,2,2,0
1415183,"Bazar Tashkaan School, Bazar Tashkaan",1524,15,1600,3,1,2,0
1415178,"Ghori Sang School, Ghori Sang",1524,15,2100,4,2,2,0
1415179,"Deh Aasteyan School, Deh Aasteyan",1524,15,2200,4,2,2,0
1415186,"Dasht-e-Laring School, Dasht-e-Laring",1524,15,1800,3,1,2,0
1407097,"Khashebin School, Khashebin",1525,15,1500,3,1,2,0
1407094,"Shagan School, Shagan",1525,15,2500,5,2,3,0
1407093,"Oshtagan Mosque / Mohammad Amin Yard, Oshtakan",1525,15,1000,2,1,1,0
1407100,"School, Ashtaang",1525,15,800,2,1,1,0
1407095,"Shakeran School, Shakeran",1525,15,2500,5,2,3,0
1407098,"Noorullah Yard / Targaran Mosque, Targaran",1525,15,1700,3,1,2,0
1407099,"Kaazda School, Kaazda",1525,15,1000,2,1,1,0
1407101,"School, Ghonio",1525,15,800,2,1,1,0
1407096,"Khashebin School, Khashebin",1525,15,1000,2,1,1,0
1402025,"Naaland Clinic, Naaland",1526,15,2200,4,2,2,0
1402036,Saran Yaftal School,1526,15,2000,4,2,2,0
1402026,"Anar Dara School, Anar Dara",1526,15,1400,3,1,2,0
1402029,Kashin Dara School,1526,15,2100,4,2,2,0
1402028,"Gazaanak School, Gazaanak",1526,15,1800,3,1,2,0
1402035,"School, Lab-e-Daryahe Kokcha",1526,15,1300,3,1,2,0
1402034,Speen Mosque,1526,15,1300,3,1,2,0
1402037,Koshtaga School,1526,15,1300,3,1,2,0
1402033,"Shakarlab School, Shakarlab Payan",1526,15,2100,4,2,2,0
1402030,"Walak School, Walak Payan",1526,15,1200,2,1,1,0
1402031,"Kesht Gah School, Kesht Gah",1526,15,1700,3,1,2,0
1402027,"Farghambal School, Farghambal",1526,15,1900,4,2,2,0
