distId,provId,solar_year,gregorian_year,province_name_eng,district_number,district_name_eng,rural_fem,rural_male,rural_total,urban_fem,urban_male,urban_total,fem_population,male_population,total_population,units
1707,17,1398,2019-2020,Badakhshan,7,Darayim,33669,34750,68419,,,,33669,34750,68419,exact
1708,17,1398,2019-2020,Badakhshan,8,Kohistan,8873,9537,18410,,,,8873,9537,18410,exact
1709,17,1398,2019-2020,Badakhshan,9,Yawan,17486,18551,36037,,,,17486,18551,36037,exact
1710,17,1398,2019-2020,Badakhshan,10,Jurm,18661,19074,37735,2055,2120,4175,20716,21194,41910,exact
1711,17,1398,2019-2020,Badakhshan,11,Tashkan,16051,17114,33165,,,,16051,17114,33165,exact
1712,17,1398,2019-2020,Badakhshan,12,Shuhada,18660,19727,38387,,,,18660,19727,38387,exact
1713,17,1398,2019-2020,Badakhshan,13,Shahri Buzurg,28709,29394,58103,,,,28709,29394,58103,exact
1714,17,1398,2019-2020,Badakhshan,14,Raghistan,21402,22602,44004,,,,21402,22602,44004,exact
1715,17,1398,2019-2020,Badakhshan,15,Kishm,43847,45986,89833,,,,43847,45986,89833,exact
1716,17,1398,2019-2020,Badakhshan,16,Wardooj,11875,12410,24285,,,,11875,12410,24285,exact
1717,17,1398,2019-2020,Badakhshan,17,Tagab,15269,15938,31207,,,,15269,15938,31207,exact
1718,17,1398,2019-2020,Badakhshan,18,Yamgan(Girwan),13832,14763,28595,,,,13832,14763,28595,exact
1719,17,1398,2019-2020,Badakhshan,19,Shighnan,15007,15938,30945,,,,15007,15938,30945,exact
1720,17,1398,2019-2020,Badakhshan,20,Khwahan,9135,9276,18411,,,,9135,9276,18411,exact
1721,17,1398,2019-2020,Badakhshan,21,Kufab,12397,12410,24807,,,,12397,12410,24807,exact
1722,17,1398,2019-2020,Badakhshan,22,Darwaz-e- Payin (Mamay),14484,14892,29376,,,,14484,14892,29376,exact
1723,17,1398,2019-2020,Badakhshan,23,Eshkashim,7569,7838,15407,,,,7569,7838,15407,exact
