"Province","District ID","Polling Center Name and Location","PC Code","Estimated Voters","Total PS","Male","Female","Kuchi"
"Kabul",101,"Abdul Rahim Ghaforzi Masjid ",101169,3800,7,5,2,0
"Kabul",101,"raod13 karti now,totya sacandary school",101150,6500,11,7,4,0
"Kabul",101,"raod 3 karti now,hakim sanayee masque",101172,2000,4,2,2,0
"Kabul",101,"rahman mina,rahman mina girls high school",101170,4100,7,5,2,0
"Kabul",101,"part B rahman mina,shikh najmudin ahond zada masque",101174,1500,3,2,1,0
"Kabul",101,"parozha E rahman mina,abdulrahman pazhwakschool",101152,3800,7,4,3,0
"Kabul",101,"Haaji zadraan aman (shahdaa) masque",101430,3200,6,0,0,6
"Kabul",101,"makroryan 3,bibi mahrow sacandary school",101180,2700,5,3,2,0
"Kabul",101,"makroryan 3th,alfatah high school",101182,5500,10,7,3,0
"Kabul",101," Haji Akram Khan House , Nawabad Pulchakhi.",101514,2000,5,0,0,5
"Kabul",101,"airport road,first blak metrology department",101188,3800,8,6,2,0
"Kabul",101,"yaka toot,now abad yakatoot masque",101192,1500,3,2,1,0
"Kabul",101,"Department of Construction, makroryan,3,4 ",101179,2200,4,3,1,0
"Kabul",101,"khwaja rawash,khwaja rawash sacandary school",101177,1500,3,2,1,0
"Kabul",101,"makroryan 3th,abdulhadi dawi high school",101184,4400,8,5,3,0
"Kabul",101," Shashdarak Sharq Masjid located in Shashdarak. ",101190,1500,3,2,1,0
"Kabul",101,"pol charkhi raod,paktya kot,sacandary school",101189,2800,5,3,2,0
"Kabul",101,"makroryan 3th,abulqasam ferdowsi high school",101183,5500,10,6,4,0
"Kabul",101," Maktabe Naw (New School) , Gardi Khail area.",101513,2200,5,0,0,5
"Kabul",101," Haji Abdul Qadir. ",101181,3700,7,5,2,0
"Kabul",101,"qabil boy,qabil boy high school",101186,2700,5,3,2,0
"Kabul",101,"pol charkhi,pol charkhi high school",101185,4400,9,5,2,2
"Kabul",101,"qala wakil,mansoor halaaj masque",101187,1500,4,3,1,0
"Kabul",101,"Mackroryan 4 mosque",101493,1800,4,3,1,
"Kabul",101,"pulcharkhey Haji baz mohammad mosque ",101512,2200,12,7,0,5
"Kabul",101,"shashdarak,satara sacandary school",101191,3800,7,5,2,0
"Kabul",101,"hood khail,hood khail high school",101176,5000,9,5,2,2
"Kabul",101,"makroryan,hazarat muhammad mustafa masque",101178,2200,4,3,1,0
"Kabul",102,"deh sabz kahs,malak ajabgul home",102472,1200,3,2,1,0
"Kabul",102,"pol charkhi,safeed masque",102468,5000,9,5,2,2
"Kabul",102," Da Sabz District Clinic, Da Sabz District. ",102474,2800,6,0,0,6
"Kabul",102,"baba qashqaar,baba qashqaar masque",102465,2000,4,1,1,2
"Kabul",102,"khwaja chasht,khwaja chasht primary school",102464,4000,8,3,1,4
"Kabul",102,"Ali Khail Secondary School, Ali Khail Village. ",102471,3000,6,2,2,2
"Kabul",102,"bachah sahib,pachah sahib primary school",102463,4000,7,3,2,2
"Kabul",102,"pol charkhi,habibullah home",102469,2000,4,1,1,2
"Kabul",102,"bandikhana,deh sabz educationak center",102467,2400,6,2,2,2
"Kabul",102,"deh yahyaa,deh yahyaa high school",102466,2400,5,3,2,0
"Kabul",102,"malak zargul khan zira ghodai masque",102475,3200,6,0,0,6
"Kabul",102,"pol charkhi2,sulha primary school",102470,4200,7,3,2,2
"Kabul",103,"dakoo,dakoo primary school",103339,1600,4,2,2,0
"Kabul",103,"pol sofyan,pol sofyan school",103338,1200,3,2,1,0
"Kabul",103," Shaikhan secondary school, Shaikhan area ",103336,1600,3,2,1,0
"Kabul",103,"maarikai,Dr baba meer home",103334,1200,3,2,1,0
"Kabul",103,"qalam chaaq,hamidullah home",103343,1200,3,2,1,0
"Kabul",103,"shark farza,meerbacha koot school",103341,1800,4,2,2,0
"Kabul",103,"mashwaani,mashwani primary school",103335,1200,3,2,1,0
"Kabul",103,"meer bachakoot markaz,secondary school, Qalae Khoja",103340,1800,4,2,2,0
"Kabul",103,"mirzaa khil vilage,dasht",103344,1200,3,2,1,0
"Kabul",103,"baba qashqaar,baba qashqaar masque",103342,2000,4,3,1,0
"Kabul",103,"guzar,meer hamidullah school",103337,2700,5,3,2,0
"Kabul",103,"aab chakan,aab chakan school",103333,1500,3,2,1,0
"Kabul",104,"qachi,qach sacandary school",104354,1600,3,2,1,0
"Kabul",104,"markaz kalakaan,ami habibullah shahid school",104352,3400,6,3,1,2
"Kabul",104," Karenda Secondary School, Karenda Village. ",104358,1200,3,2,1,0
"Kabul",104,"sayeed abad,sawad hayaati school",104353,1200,3,2,1,0
"Kabul",104,"zama,zama sacandary schoool",104357,2400,5,2,1,2
"Kabul",104,"akhs saraan,aaqay saray school",104356,1200,3,2,1,0
"Kabul",104," Mushwani Sufla school, Mashwani",104355,1600,3,2,1,0
"Kabul",105,"akaa khil,akaa khil religiose school",105359,1600,3,1,1,1
"Kabul",105,"daudzai,daudzai primary school",105365,1800,4,2,2,0
"Kabul",105,"qarabagh bazar,bazarqarabagh sacandry school",105372,1200,3,2,1,0
"Kabul",105,"bagh zaghaan,noor agha home",105362,2000,4,1,1,2
"Kabul",105,"Abdul Rahman Baba School, Deenar khail Area. ",105366,1600,4,1,1,2
