id,name,distId,provId,lat,lon,closed,ps_female,ps_male,ps_total
2306074,Kamanj School,2306,23,34.3546592,64.3645081700001,0,2,1,3
2306075,Sar Chashma School,2306,23,34.13230083,64.41972424,0,2,1,3
2307163,Shorqal School,2307,23,34.5571816500001,66.5814884100001,0,1,1,2
2307164,Sare Kamran Mosque,2307,23,34.6433047400001,66.30260182,0,1,1,2
2310198,Deh Sheer Secondary School,2310,23,33.6458635600001,63.7032757200001,0,1,2,3
2406132,Komi Mosque,2406,24,33.6858346700001,65.77892404,0,1,2,3
2406133,Mozarmi Mosque,2406,24,33.5403660100001,65.6607964400001,0,1,2,3
2703079,Mandahsar School,2703,27,31.5454964800001,65.8536799000001,0,1,3,4
2703080,Khosh Aab School,2703,27,31.50412204,65.8125195500001,0,1,2,3
2907084,Bashalmast Mosque,2907,29,35.7256722100001,63.9649816300001,0,1,1,2
2907085,Maato Mosque,2907,29,35.74635888,64.02247286,0,1,1,2
3006117,Haji Nadir Village School,3006,30,30.9142387300001,64.13927193,0,0,2,2
3006118,Lakree School,3006,30,30.8709754000001,64.1402429,0,0,3,3
2006093,Dai Kundi Jaame Mosque,2006,20,35.9495210370001,67.560279913,0,1,1,2
2007033,Bazar Sokhta Boys High School,2006,20,35.9081695100001,67.2832412800001,0,2,2,4
105464,Khwaja Chesht High School,105,1,34.6469360300001,69.2340642600001,0,3,3,6
105465,Baba Qashqar Mosque,105,1,34.67767902,69.3649619200001,0,2,2,4
108343,Qalam Chaaq Mosque,108,1,34.768079361,69.114758448,0,1,2,3
405142,Dasht-E-Toop Old High School,405,4,34.2005428900001,68.79283403,0,1,2,3
609459,Kochai Banda Mosque,609,6,34.303652452,70.707782968,0,1,1,2
609460,Lalma Bajgai Dera,609,6,34.3210215200001,70.76938672,0,1,1,2
611308,Koz Sabr Chardewali,611,6,34.239210488,70.297044861,1,3,0,3
905070,Molla Najeeb Mosque ,905,9,36.3297732,68.76439509,0,1,1,2
905071,Ghulam Moheddin Yakatoot Mosque,905,9,36.19350884,68.7913366700001,0,1,2,3
1107225,Bakhtiar Village Mosque,1107,11,33.3670644500001,68.4312455700001,0,0,2,2
1107226,Bakhtiar Village Lower Mosque,1107,11,33.36771092,68.4322193400001,0,2,0,2
1403175,Lewa Zhawy Khola Mosque,1403,14,33.2867059170001,70.0095350180001,0,1,1,2
1404133,Faqeeran Haji Badshah Waldod Hojra,1404,14,33.22142933,69.8518927100001,0,1,2,3
1404146,Sahra Village Madrassa,1404,14,33.26934807,69.8786628600001,0,1,2,3
1405067,Haji Mir Afghan Hojra,1405,14,33.4627421700001,69.8263851400001,0,1,2,3
2007047,Menbar Hashtalez,2006,20,35.8148843010001,67.177738541,0,1,1,2
2007090,Menbar Jaihoon,2006,20,35.69172373,67.40992945,0,1,1,2
2101045,Abdul Qader Khulmi Secondary School,2101,21,36.6964151630001,67.1514900500001,0,1,2,3
2101046,Ali Chopan High School,2101,21,36.703621509,67.153504889,0,2,2,4
2111196,Tahana School,2111,21,36.7822811570001,66.7788647510001,0,1,1,2
2503023,Haji Mohammad Akbar Khan Private House,2503,25,32.8714977100001,66.0676858200001,0,1,2,3
2718244,Ghat School,2716,27,31.2341015830001,65.9782732640001,0,1,2,3
