id,name,ballotNumber,gender,party,incumbent
1-1426-218,Lft-Gen. Sayed Aman,103,M,Ind,
1-1429-225,Aafyat Hashmatullah Omari,219,M,Ind,
1-1430-80,Ezatullah Aatef,288,M,Ind,
1-1432-81,Anwar Khan Oryakhel,220,M,Ind,
1-1433-28,Abdul Karim Stanikzai Obaid,599,M,Ind,
1-1434-31,Anisa Turk,551,F,Ind,
1-1435-57,saifurahman Gharwal,389,M,Ind,
1-1436-11,Mohammad Rahim Karimi,618,M,Ind,
1-1438-254,Gen. Abdul Wahed Taqat,53,M,Ind,
1-1440-71,Mohammad Nazir Ahmadzai,141,M,Ind,
1-1441-1090,Abdul Rahman Khwazak,416,M,Ind,
1-1442-4,Alhaj Abdul Qayoum Khairkhwah,152,M,Ind,
1-1443-91,Haji Mohammad Farhad Sediqi,106,M,Ind,
1-1444-12,Haji Zergai Habibi,475,M,Ind,
1-1445-26,Haji Sardar Agha Naseri,96,M,Ind,
1-1446-91,Abdul Hadi Khalid,713,M,Ind,
1-1448-107,Abdullah Wejdan,526,M,Ind,
1-1449-128,Mohammad Younus Wayar,355,M,Ind,
1-1450-1083,Shah Gull Rezaye,337,F,Ind,
1-1451-3060,Sayed Abdullah Saber,247,M,Ind,
1-1452-3058,Sayed Hassan Hussaini,612,M,Ind,
1-1453-98,Malem Aziz Royesh,423,M,Ind,
1-1454-123,Ahmad Behzad,42,M,Ind,
1-1455-132,Gen. Babrak Saber,463,M,Ind,
1-1456-54,Madaar Ali Karimi,757,M,Ind,
1-1457-96,Kheyali Jaan Sarwan,91,M,Ind,
1-1458-117,Abdul Qadir Sadeqyar,43,M,Ind,
1-1459-121,Khwaja Mahbob Sediqi,105,M,Ind,
1-1460-217,Mumtaz Yousufzai,641,F,Ind,
1-1461-174,Mohammad Fahim Hashemi,433,M,Ind,
1-1462-29,Haji Jalaluddin Salehi,582,M,Ind,
1-1463-36,Haji Abdul Qaher Kalakani,255,M,Ind,
1-1464-69,Saranpoh. Enayatullah Kamal,304,M,Ind,
1-1465-84,Mohammad Aref Haidari,557,M,Ind,
1-1466-1068,Nematullah Ahmadi,265,M,Ind,
1-1467-1015,Eid Mohammad Maleyar,382,M,Ind,
1-1469-107,Mohammad Aref Moheb,644,M,Ind,
1-1470-160,Dr. Aatefa Tayeb,94,F,Ind,
1-1471-1085,Parwin Zafar Ahadi,601,F,Ind,
1-1473-108,Pashtonyar Askarzadah,778,M,Ind,
1-1474-220,Khwaja Mohammad Musa Fariwar,441,M,Ind,
1-1475-1103,Dr. Sayed Jalil sayed,285,M,Ind,
1-1476-1101,Mohammad Mahdi Hussainyar,591,M,Ind,
1-1477-12,Haji Ghullam Maroof Sediqi,16,M,Ind,
1-1478-72,Ajmal Balochzadah,136,M,Ind,
1-1479-47,Ghullam Hussain Naseri,2,M,Ind,
1-1480-52,Alhaj Farid Khan Zurmati,69,M,Ind,
1-1481-144,Dr. Abdul Satar Stanikzai,127,M,Ind,
1-1482-148,Eng. Mohammad Dawood Yousufzai,38,M,Ind,
1-1483-35,Abdul Saboor Rahmani,547,M,Ind,
1-1484-202,Ahmad Kumail Mir Shadibeg,638,M,Ind,
1-1485-63,Abdul Mohammad Elham Nadi,632,M,Ind,
1-1486-139,Zabiullah Laho Zazai,589,M,Ind,
1-1487-209,Saranwal Rohullah Sakhizad,429,M,Ind,
1-1489-13,Haij Muzamel Hotak,394,M,Ind,
1-1490-20,Jamshid Iqbal,691,M,Ind,
1-1491-1213,Dr. Sarfaraz Safi,779,M,Ind,
1-1492-23,Mohammad Qasim Hakimi,411,M,Ind,
