id,name,provId,geoId,registeredMen,registeredWomen,registeredTotal,femalePopulationRural,malePopulationRural,totalPopulationRural,femalePopulationUrban,malePopulationUrban,totalPopulationUrban,totalPopulationFemale,totalPopulationMale,totalPopulation
2203,Kohistanat,22,2203,,,,42576,44806,87382,,,,42576,44806,87382
2204,Sozma Qala,22,2204,2854,3257,6111,26546,27474,54020,,,,26546,27474,54020
2205,Sancharak,22,2205,12754,15264,28018,46679,50199,96878,6879,7175,14054,53558,57374,110932
2206,Gosfandi,22,2206,8497,7813,16310,31420,30427,61847,,,,31420,30427,61847
2207,Balkhab,22,2207,14585,14624,29209,26674,28245,54919,,,,26674,28245,54919
2301,Ferozkoh,23,2301,44813,26036,70849,69251,71253,140504,3866,3864,7730,73117,75117,148234
2302,Dolayna,23,2302,9592,5693,15285,19364,20028,39392,,,,19364,20028,39392
2303,Dawlatyar,23,2303,14144,11191,25335,17698,17974,35672,,,,17698,17974,35672
2304,Charsada,23,2304,4371,1928,6299,14620,15278,29898,,,,14620,15278,29898
2305,Pasaband,23,2305,3071,1770,4841,50527,53023,103550,,,,50527,53023,103550
2306,Shahrak,23,2306,19675,8053,27728,31546,33765,65311,,,,31546,33765,65311
2307,Lal Wa Sarjangal,23,2307,21682,19541,41223,60660,61625,122285,,,,60660,61625,122285
2308,Taywarah,23,2308,15654,3913,19567,48089,51739,99828,,,,48089,51739,99828
2309,Tolak,23,2309,14529,6133,20662,27187,29015,56202,,,,27187,29015,56202
2310,Saghar,23,2310,5508,1305,6813,18210,19642,37852,,,,18210,19642,37852
2401,Neli,24,2401,8325,9538,17863,20263,21104,41367,,,,20263,21104,41367
2402,Shahristan,24,2402,12868,14001,26869,38034,39946,77980,,,,38034,39946,77980
2403,Gizab,24,2409,4942,5918,10860,0,0,0,0,0,0,0,0,0
2404,Ashtarlay,24,2403,8102,8976,17078,28898,30184,59082,,,,28898,30184,59082
2405,Khader,24,2404,7870,8792,16662,25356,26251,51607,,,,25356,26251,51607
2406,Keti,24,2405,7809,12725,20534,26441,28065,54506,,,,26441,28065,54506
2407,Meramor,24,2406,12258,16066,28324,40396,42685,83081,,,,40396,42685,83081
2408,Sang-e-takht,24,2407,7914,8426,16340,28117,28906,57023,,,,28117,28906,57023
2409,Kajran,24,2408,5379,6966,12345,17400,18395,35795,,,,17400,18395,35795
2501,Tirenkot,25,2501,28229,1564,29793,50270,54564,104834,3724,3725,7449,53994,58289,112283
2502,Dehrawud,25,2502,13047,58,13105,30392,32610,63002,1863,1932,3795,32255,34542,66797
2503,Chora,25,2503,5562,51,5613,27316,28502,55818,,,,27316,28502,55818
2504,Shahed-e-hassas,25,2504,,,,31675,32738,64413,,,,31675,32738,64413
2505,Khas Uruzgan,25,2505,,,,29880,31839,61719,,,,29880,31839,61719
2506,Chinarto,25,2507,1333,0,1333,6797,7189,13986,,,,6797,7189,13986
2507,Gezab,25,2506,5861,294,6155,21632,20242,41874,2005,2069,4074,23637,22311,45948
2601,Qalat,26,2601,25473,2630,28103,15132,15695,30827,6162,6241,12403,21294,21936,43230
2602,Tarnak Wa Jaldak,26,2602,5114,213,5327,10588,10866,21454,,,,10588,10866,21454
2603,Shenkay,26,2603,3792,57,3849,15150,15671,30821,,,,15150,15671,30821
2604,Mezan,26,2604,1902,7,1909,10112,10771,20883,,,,10112,10771,20883
2605,Arghandab,26,2605,23471,1013,24484,17312,18359,35671,,,,17312,18359,35671
2606,Shahjoy,26,2606,14226,29,14255,37899,39258,77157,,,,37899,39258,77157
2607,Daychopan,26,2607,,,,21032,21954,42986,,,,21032,21954,42986
2608,Atghar,26,2608,1436,0,1436,6726,6852,13578,,,,6726,6852,13578
2609,Naw Bahar,26,2609,576,0,576,11584,12110,23694,,,,11584,12110,23694
2610,Shumulzay,26,2610,4638,427,5065,17541,17725,35266,,,,17541,17725,35266
2611,Kakar,26,2611,,,,12824,13479,26303,,,,12824,13479,26303
2702,Arghandab,27,2702,,,,32830,34792,67622,,,,32830,34792,67622
2703,Daman,27,2703,15613,2024,17637,18338,19515,37853,,,,18338,19515,37853
2704,Panjwayi,27,2704,24624,769,25393,46680,48402,95082,,,,46680,48402,95082
2705,Zhiray,27,2705,29193,380,29573,45654,48015,93669,,,,45654,48015,93669
